Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-09-21,4022,,1821,2911,4745,2945,889,3886,
2012-08-06,4169,,1833,3303,5881,3001,623,4474,
2012-02-07,4144,,1397,2658,3998,1883,2783,4464,
2012-04-21,533,,212,398,710,408,50,755,
2012-06-01,146,,0,98,244,86,4,75,
2012-05-31,5104,,2177,3985,6631,3205,1389,4410,
2012-12-05,3854,,1457,2429,3894,1805,2268,4855,
2012-09-27,5119,,2288,3465,5983,3704,1152,4598,
2012-12-07,6179,,2371,3772,7200,3687,2433,5140,
2012-07-22,4971,,1238,2683,4104,1788,2960,4787,
2012-02-06,943,,392,630,1289,628,71,1436,
2012-02-19,169,,3,110,205,113,13,2,
2012-03-29,878,,406,646,1264,807,78,937,
2012-06-13,6180,,2792,4374,7297,3825,1968,5887,
2012-05-15,3964,,1773,3144,5088,2650,975,3765,
2012-02-29,242,,0,164,446,190,7,4,
2012-03-20,2481,,1261,1709,3130,1955,762,2609,
2012-07-17,2756,,1046,2001,3802,1700,569,2641,
2012-07-19,6309,,2397,3996,7699,3777,2647,5665,
2012-05-30,6459,,2722,4806,7632,3817,2454,5172,
2012-03-04,2416,,1078,1791,3556,1880,513,2450,
2012-05-18,5980,,2241,4415,6646,3196,1711,5273,
2012-10-29,2919,,1458,2071,3768,2440,411,2795,
2012-05-13,2741,,1223,1703,3086,1592,1394,3496,
2012-09-29,1896,,755,1206,1963,1062,442,2267,
2012-03-27,1049,,517,774,1576,972,163,1207,
2012-06-19,5382,,2360,3447,6679,3438,1711,5015,
2012-10-02,303,,1,206,478,216,6,2,
2012-04-08,4223,,1305,2019,4425,1769,2939,4467,
2012-10-05,2755,,1227,2130,4056,2075,399,2437,
2012-05-03,155,,1,114,363,157,8,2,
2012-02-02,217,,5,134,345,128,2,2,
2012-01-06,6097,,2604,4110,7175,3895,1692,6595,
2012-05-20,5255,,1663,2730,4462,2182,4241,5539,
2012-05-10,4151,,1977,2799,4688,2844,1035,4088,
2012-07-14,4206,,1244,2441,4284,1562,2900,4252,
2012-07-10,1580,,660,922,1629,860,695,2052,
2012-06-29,5770,,1935,4004,6656,3090,2109,5332,
2012-08-09,2155,,1192,1467,2739,898,801,2626,
2012-03-05,3698,,1618,3001,4943,2577,731,3603,
2012-07-26,5560,,2043,4174,6476,3208,1595,4383,
2012-04-09,4225,,1934,3057,5275,3006,894,3868,
2012-09-23,2314,,1093,1496,2572,1470,984,3321,
2012-06-20,5713,,2402,3524,6848,3510,2363,4852,
2012-07-02,316,,0,209,516,225,9,0,
2012-01-10,3255,,1576,2184,3830,2582,397,2987,
2012-06-02,248,,1,136,425,167,10,0,
2012-02-21,441,,5,292,503,286,10,6,
2012-07-21,5092,,1419,2957,4658,1821,3835,4848,
2012-01-30,219,,0,146,371,152,2,0,
2012-01-18,139,,0,66,188,68,3,0,
2012-09-03,371,,8,279,575,268,8,38,
2012-03-07,6712,,2634,4398,7416,3896,2606,5462,
2012-12-06,3361,,1556,2362,4230,2381,589,3030,
2012-05-06,5842,,2721,3927,7302,3786,1232,5348,
2012-05-14,6189,,2709,4402,7006,3868,2215,5775,
2012-07-20,5813,,2088,3744,6959,3316,2538,5775,
2012-01-02,138,,0,100,271,71,5,0,
2012-10-20,2011,,748,1323,2266,1213,797,2243,
2012-09-08,4127,,1802,2601,5377,2656,1471,3636,
2012-04-16,3643,,1841,2723,4830,2677,1061,3616,
2012-09-25,5038,,2236,3273,5861,3712,1007,4420,
2012-08-18,4427,,1333,2505,3866,1864,1229,4359,
2012-03-10,4685,,2377,3191,5475,3415,858,3941,
2012-10-04,2183,,909,1588,2932,1736,252,2108,
2012-07-28,4105,,1345,2504,4540,1767,2468,4631,
2012-05-23,5974,,2650,4407,7281,3737,1826,4798,
2012-10-30,2887,,1251,2007,3516,2255,338,2790,
2012-10-23,4177,,1997,2795,5216,3233,795,3554,
2012-07-09,6186,,2720,4153,7323,3886,2051,6104,
2012-09-13,6520,,3076,4369,7514,4494,1986,5742,
2012-09-24,4553,,2246,3117,5738,3705,1100,4683,
2012-10-13,1783,,802,1205,2113,1183,681,2309,
2012-01-20,161,,4,96,217,67,1,1,
2012-05-26,4974,,1622,2936,4991,2373,3455,5443,
2012-07-01,98,,2,80,108,53,6,54,
2012-10-07,6500,,2625,4064,7436,3749,2822,5952,
2012-11-10,3746,,1857,2569,4694,3034,558,3457,
2012-09-17,5299,,2658,3670,6582,4076,1704,4788,
2012-10-27,1857,,792,1244,2461,1193,618,2471,
2012-06-23,3753,,1326,1842,3992,1910,2585,4824,
2012-09-26,3948,,1873,2720,4755,3119,650,3721,
2012-01-01,35,,0,38,51,26,10,16,
2012-04-10,4034,,2025,2705,4850,3066,555,3418,
2012-05-08,1864,,630,1100,2327,970,1066,2268,
2012-06-04,1633,,650,1045,1913,975,621,2138,
2012-08-17,4236,,1777,3099,4979,2581,586,4154,
2012-11-07,6424,,2548,3921,7374,3781,2779,5474,
2012-10-28,1310,,697,910,1776,955,387,1876,
2012-08-16,6062,,2538,3898,6549,3366,1549,4943,
2012-07-27,5759,,1948,3658,6851,3275,2653,5295,
2012-03-25,520,,243,309,691,427,145,723,
2012-03-24,753,,336,517,1001,635,277,1035,
2012-02-09,3698,,1232,2093,3827,1788,2959,4247,
2012-03-17,681,,287,422,872,468,334,1008,
2012-03-23,2115,,1143,1512,2955,1791,663,2325,
2012-08-26,3964,,1318,2118,3558,1750,2932,4536,
2012-07-31,5415,,2185,3145,6705,3222,2505,4468,
2012-03-11,844,,380,612,1137,713,105,1302,
2012-01-13,75,,0,41,105,64,2,0,
